id;imagem;codigo;descricao;fornecedor;linha;cor;medida;sistema;valor;observacao;estoque;nescessario;material;peso_kg_m
967;;LU-022;;ALUITA;Portões;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.457
968;;LU-023;;ALUITA;Portões;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.217
962;;LU-027;;ALUITA;Portões;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.418
956;;LU-028;;ALUITA;Portões;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.741
957;;LU-029;;ALUITA;Portões;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.181
963;;LU-035;;ALUITA;Portões;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.199
1001;;MD-012;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1089
1000;;MD-024;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1971
1002;;MD-025;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1572
1036;;MD-176;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1642
1015;;MD-309;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1240
1016;;MD-310;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1250
1017;;MD-311;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1083
1018;;MD-312;;ALUITA;MEGA 32;BRANCA;BR;;0.0;nan;0;0;PERFIL;1261
931;;MG25-019;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1175
587;;MG25-88001;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.773
588;;MG25-88002;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.711
593;;MG25-88003;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.537
591;;MG25-88004;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.526
592;;MG25-88005;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1106
675;;MG25-88006;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.999
589;;MG25-88007;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.386
678;;MG25-88008;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.245
613;;MG25-88009;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.907
597;;MG25-88010;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;1028
598;;MG25-88011;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.960
601;;MG25-88012;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.559
673;;MG25-88013;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.767
674;;MG25-88014;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.671
676;;MG25-88015;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.918
677;;MG25-88016;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.841
932;;MG25-88018;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.660
610;;MG25-88026;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.855
611;;MG25-88027;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.803
612;;MG25-88028;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.487
614;;MG25-88029;;ALUITA;MEGA 25;BRANCA;BR;;0.0;nan;0;0;PERFIL;0.630
